time,open,high,low,close,volume,support,resistance,sma_20,signal,sl,tp,position_open,position_price,position_sl,position_tp
1970-01-01 00:00:01.750819920,102132.4292,102220.4075,102131.1301,102220.4075,89277,101974.363,102492.4405,102242.02514,0,,,False,,,
1970-01-01 00:00:01.750819980,102229.6598,102303.1763,102202.1115,102293.5574,101065,101974.363,102394.4381,102239.83641,0,,,False,,,
1970-01-01 00:00:01.750820040,102319.3786,102346.4109,102196.81,102231.8831,149601,101974.363,102394.4381,102238.51125499999,0,,,False,,,
1970-01-01 00:00:01.750820100,102211.5754,102277.6881,102193.8353,102230.5964,83853,101974.363,102394.4381,102236.66901499999,0,,,False,,,
1970-01-01 00:00:01.750820160,102244.6706,102308.7796,102161.5762,102170.9222,147203,101974.363,102394.4381,102228.4376,0,,,False,,,
1970-01-01 00:00:01.750820220,102154.0316,102173.9646,102086.0733,102148.066,87891,101974.363,102394.4381,102216.889585,0,,,False,,,
1970-01-01 00:00:01.750820280,102156.2106,102242.4921,102136.4746,102218.5047,106018,101974.363,102369.0831,102212.959315,0,,,False,,,
1970-01-01 00:00:01.750820340,102190.2098,102190.2098,102008.0822,102099.3144,182128,101974.363,102369.0831,102201.95878,0,,,False,,,
1970-01-01 00:00:01.750820400,102069.7748,102217.597,102010.3044,102183.3871,207293,101974.363,102369.0831,102197.52579000001,0,,,False,,,
1970-01-01 00:00:01.750820460,102170.1554,102170.1554,102043.2342,102107.8762,126921,101974.363,102369.0831,102191.737835,0,,,False,,,
1970-01-01 00:00:01.750820520,102090.7076,102090.7076,101909.8119,101918.7686,180896,101909.8119,102369.0831,102183.757445,-1,102180.1554,101898.7686,True,101918.7686,102180.1554,101898.7686
1970-01-01 00:00:01.750820580,101929.4464,102003.7452,101828.5946,101828.5946,175151,101828.5946,102369.0831,102170.79581499999,-1,102100.7076,101808.5946,True,101828.5946,102100.7076,101808.5946
1970-01-01 00:00:01.750820640,101797.3885,101814.752,101660.5847,101660.5847,154167,101660.5847,102369.0831,102145.634905,-1,102013.7452,101640.5847,True,101660.5847,102013.7452,101640.5847
1970-01-01 00:00:01.750820700,101689.1345,101716.5714,101583.0182,101583.0182,133553,101583.0182,102369.0831,102115.26319,-1,101824.752,101563.0182,True,101583.0182,101824.752,101563.0182
1970-01-01 00:00:01.750820760,101578.8201,101600.6354,101467.5097,101488.4677,133126,101467.5097,102369.0831,102080.89975499999,-1,101726.5714,101468.4677,True,101488.4677,101726.5714,101468.4677
1970-01-01 00:00:01.750820820,101535.1158,101535.9995,101436.3099,101467.1722,99690,101436.3099,102369.0831,102042.15691,-1,101610.6354,101447.1722,True,101467.1722,101610.6354,101447.1722
1970-01-01 00:00:01.750820880,101454.5141,101468.5977,101404.4016,101414.4804,64196,101404.4016,102369.0831,102000.601315,-1,101545.9995,101394.4804,True,101414.4804,101545.9995,101394.4804
1970-01-01 00:00:01.750820940,101420.5133,101440.2417,101260.7541,101271.6424,179488,101260.7541,102369.0831,101947.55822,-1,101478.5977,101251.6424,True,101271.6424,101478.5977,101251.6424
1970-01-01 00:00:01.750821000,101276.1199,101342.7386,101169.9358,101209.3497,172803,101169.9358,102346.4109,101895.566605,-1,101450.2417,101189.3497,True,101209.3497,101450.2417,101189.3497
1970-01-01 00:00:01.750821060,101216.7181,101230.4315,101111.9601,101131.6498,118471,101111.9601,102346.4109,101843.912165,-1,101352.7386,101111.6498,True,101131.6498,101352.7386,101111.6498
1970-01-01 00:00:01.750821120,101148.1273,101209.2923,101098.1187,101098.1187,111174,101098.1187,102346.4109,101787.797725,-1,101240.4315,101078.1187,True,101098.1187,101240.4315,101078.1187
1970-01-01 00:00:01.750821180,101136.1567,101218.6359,101104.0766,101218.6359,114559,101098.1187,102346.4109,101734.05165000001,0,,,False,,,
1970-01-01 00:00:01.750821240,101236.1367,101359.5139,101169.5611,101359.5139,189953,101098.1187,102308.7796,101690.43319,0,,,False,,,
1970-01-01 00:00:01.750821300,101354.6895,101424.8028,101293.4848,101348.867,131318,101098.1187,102308.7796,101646.34672,0,,,False,,,
1970-01-01 00:00:01.750821360,101351.5508,101449.931,101351.5508,101433.0359,98380,101098.1187,102242.4921,101609.452405,0,,,False,,,
1970-01-01 00:00:01.750821420,101457.8821,101481.0847,101406.4177,101427.4399,74667,101098.1187,102242.4921,101573.4211,0,,,False,,,
1970-01-01 00:00:01.750821480,101390.4648,101560.5218,101390.4648,101527.1363,170057,101098.1187,102217.597,101538.85268000001,0,,,False,,,
1970-01-01 00:00:01.750821540,101558.8415,101603.8005,101533.5215,101603.8005,70279,101098.1187,102217.597,101514.076985,0,,,False,,,
1970-01-01 00:00:01.750821600,101583.7788,101710.677,101557.3646,101698.4651,153312,101098.1187,102170.1554,101489.83088499999,0,,,False,,,
1970-01-01 00:00:01.750821660,101722.071,101800.3495,101655.9107,101684.2299,144439,101098.1187,102090.7076,101468.64857,0,,,False,,,
1970-01-01 00:00:01.750821720,101707.4341,101746.227,101651.4461,101685.1879,94781,101098.1187,102003.7452,101456.96953500001,0,,,False,,,
1970-01-01 00:00:01.750821780,101705.1842,101741.6805,101589.3828,101615.2701,152298,101098.1187,101814.752,101446.30331,0,,,False,,,
1970-01-01 00:00:01.750821840,101628.7602,101695.2259,101586.8447,101620.6278,108381,101098.1187,101800.3495,101444.30546500001,0,,,False,,,
1970-01-01 00:00:01.750821900,101618.5917,101652.3538,101544.438,101584.4318,107916,101098.1187,101800.3495,101444.376145,0,,,False,,,
1970-01-01 00:00:01.750821960,101577.1031,101577.1031,101486.8847,101509.6501,90218,101098.1187,101800.3495,101445.43526500001,0,,,False,,,
1970-01-01 00:00:01.750822020,101516.8802,101677.5756,101490.9808,101677.5328,186595,101098.1187,101800.3495,101455.953295,0,,,False,,,
1970-01-01 00:00:01.750822080,101649.5081,101707.3281,101611.7418,101637.8087,95586,101098.1187,101800.3495,101467.11971,0,,,False,,,
1970-01-01 00:00:01.750822140,101625.8888,101638.2722,101517.262,101592.3968,121010,101098.1187,101800.3495,101483.15742999999,0,,,False,,,
1970-01-01 00:00:01.750822200,101594.4863,101627.1857,101556.8753,101562.0419,70310,101098.1187,101800.3495,101500.79204,0,,,False,,,
1970-01-01 00:00:01.750822260,101593.492,101779.7178,101593.492,101709.6659,186226,101098.1187,101800.3495,101529.692845,0,,,False,,,
1970-01-01 00:00:01.750822320,101701.4685,101755.5778,101557.5156,101557.5156,198062,101104.0766,101800.3495,101552.66269,0,,,False,,,
1970-01-01 00:00:01.750822380,101544.8712,101544.8712,101419.8476,101419.8476,125024,101169.5611,101800.3495,101562.723275,0,,,False,,,
1970-01-01 00:00:01.750822440,101411.9615,101440.2204,101353.9766,101353.9766,86244,101293.4848,101800.3495,101562.44641,0,,,False,,,
1970-01-01 00:00:01.750822500,101362.0053,101375.2045,101268.2387,101289.6776,106966,101268.2387,101800.3495,101559.48694,-1,101450.2204,101269.6776,True,101289.6776,101450.2204,101269.6776
1970-01-01 00:00:01.750822560,101291.3203,101360.9513,101263.3714,101304.6948,97580,101263.3714,101800.3495,101553.06988499999,0,,,False,,,
1970-01-01 00:00:01.750822620,101316.3132,101510.2311,101297.76,101401.2653,212471,101263.3714,101800.3495,101551.761155,0,,,False,,,
1970-01-01 00:00:01.750822680,101419.4729,101472.0895,101354.8827,101354.8827,117207,101263.3714,101800.3495,101543.148475,0,,,False,,,
1970-01-01 00:00:01.750822740,101333.2015,101389.6478,101193.1543,101226.9176,196494,101193.1543,101800.3495,101524.30433,-1,101482.0895,101206.9176,True,101226.9176,101482.0895,101206.9176
1970-01-01 00:00:01.750822800,101193.6775,101288.764,101174.1101,101281.6427,114654,101174.1101,101800.3495,101503.46321,0,,,False,,,
1970-01-01 00:00:01.750822860,101264.4825,101309.1118,101117.9816,101179.1436,191130,101117.9816,101779.7178,101478.208895,0,,,False,,,
1970-01-01 00:00:01.750822920,101188.1818,101188.1818,100972.7712,101085.1884,215411,100972.7712,101779.7178,101448.20891999999,-1,101319.1118,101065.1884,True,101085.1884,101319.1118,101065.1884
